Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (Icelandic),nan,415,190,300,0,378,nan,Dec,257,257,nan
Greylag Goose,nan,415,190,300,0,378,nan,Dec,257,257,nan
Wigeon,nan,85,92,(145),67,(70),nan,Mar,97,97,nan
Teal,nan,50,90,170,27,0,nan,nan,67,67,nan
Mallard,nan,5,25,(10),80,6,nan,Sep,29,29,nan
Mute Swan,nan,0,(0),(14),(2),(4),nan,Mar,5,5,nan
Pink-footed Goose,nan,0,3,0,1,0,nan,nan,1,1,nan
Goldeneye,nan,1,(0),0,(2),0,nan,nan,1,1,nan
Shelduck,nan,0,(0),0,1,0,nan,nan,0,0,nan
Tufted Duck,nan,0,(0),0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,(0),0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,(0),0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,(0),0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,(0),0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
