Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Gadwall,nan,80,24,10,8,4,nan,Jan,25,25,nan
Tufted Duck,nan,25,37,21,11,29,nan,Feb,25,25,nan
Mallard,nan,20,13,19,24,8,nan,Mar,17,17,nan
Mute Swan,nan,6,10,9,8,6,nan,Sep,8,8,nan
Canada Goose,nan,4,20,2,3,5,nan,Mar,7,7,nan
Shelduck,nan,0,2,5,5,0,nan,nan,2,2,nan
Shoveler,nan,6,2,1,0,0,nan,nan,2,2,nan
Wigeon,nan,6,0,(0),0,0,nan,nan,2,2,nan
Domestic Mallard,nan,0,0,1,1,1,nan,Feb,1,1,nan
Goosander,nan,1,0,(0),0,0,nan,nan,0,0,nan
Teal,nan,0,0,(0),1,0,nan,nan,0,0,nan
Pochard,nan,0,0,1,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,(0),0,0,nan,nan,0,0,nan
Pintail,nan,0,0,(0),0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,(0),0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,(0),0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,(0),0,0,nan,nan,0,0,nan
Snow Goose,nan,0,0,(0),0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
