Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Goosander,nan,nan,nan,22Supplementary roost count under the WeBS Core Count SurveyWeBS,3,12,nan,Jan,12,12,nan
Goldeneye,nan,nan,nan,4,4,6,nan,Feb,5,5,nan
Mallard,nan,nan,nan,3,3,3,nan,May,3,3,nan
Canada Goose,nan,nan,nan,3,2,3,nan,Aug,3,3,nan
Tufted Duck,nan,nan,nan,5,0,0,nan,nan,2,2,nan
Scaup,nan,nan,nan,0,1,0,nan,nan,0,0,nan
Long-tailed Duck,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Common Scoter,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Pochard,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Teal,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Pintail,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Wigeon,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Shoveler,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Shelduck,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
