Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Brent Goose (Light-bellied of Nearctic origin),nan,"1,276Supplementary visit under the WeBS Core Count SurveyWeBS",0,0,0,0,nan,nan,255,255,nan
Brent Goose (Light-bellied - hrota),nan,"1,276Supplementary visit under the WeBS Core Count SurveyWeBS",0,0,0,0,nan,nan,255,255,nan
Brent Goose,nan,"1,276Supplementary visit under the WeBS Core Count SurveyWeBS",0,0,0,0,nan,nan,255,255,nan
Barnacle Goose (Greenland),nan,518Supplementary visit under the WeBS Core Count SurveyWeBS,0,239,0,46,nan,Feb,161,161,nan
Barnacle Goose,nan,518Supplementary visit under the WeBS Core Count SurveyWeBS,0,239,0,46,nan,Feb,161,161,nan
Eider (except Shetland),nan,68,56,44,59,46,nan,Apr,55,55,nan
Eider,nan,68,56,44,59,46,nan,Apr,55,55,nan
Greylag Goose (British/Irish),nan,2,26,68,1,85,nan,Nov,36,36,nan
Greylag Goose,nan,2,26,68,1,85,nan,Nov,36,36,nan
White-fronted Goose (Greenland - flavirostris),nan,0,0,37,29,0,nan,nan,13,13,nan
White-fronted Goose,nan,0,0,37,29,0,nan,nan,13,13,nan
Long-tailed Duck,nan,4,9,14,4,15,nan,Dec,9,9,nan
Mallard,nan,2,0,9,18,17,nan,Dec,9,9,nan
Shelduck,nan,2,8,5,17Supplementary visit under the WeBS Core Count SurveyWeBS,2,nan,Apr,7,7,nan
Red-breasted Merganser,nan,18,0,2,0,0,nan,nan,4,4,nan
Whooper Swan,nan,0,0,2,2,3,nan,Nov,1,1,nan
Teal,nan,0,0,4,0,0,nan,nan,1,1,nan
Common Scoter,nan,0,0,0,0,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
