Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (Icelandic),nan,22,nan,36,0,62,nan,Feb,30,30,nan
Greylag Goose,nan,22,nan,36,0,62,nan,Feb,30,30,nan
Mallard,nan,8,nan,21,24,13,nan,Feb,17,17,nan
Eider (except Shetland),nan,7,nan,5,17,12,nan,Feb,10,10,nan
Eider,nan,7,nan,5,17,12,nan,Feb,10,10,nan
Wigeon,nan,6,nan,0,0,10,nan,Feb,4,4,nan
Goosander,nan,4,nan,0,6,1,nan,Feb,3,3,nan
Red-breasted Merganser,nan,0,nan,6,0,0,nan,nan,2,2,nan
Teal,nan,0,nan,0,3,0,nan,nan,1,1,nan
Goldeneye,nan,0,nan,0,0,0,nan,nan,0,0,nan
Shelduck,nan,0,nan,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,nan,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,nan,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
