Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,217Supplementary visit under the WeBS Core Count SurveyWeBS,247Supplementary visit under the WeBS Core Count SurveyWeBS,283Supplementary visit under the WeBS Core Count SurveyWeBS,363.0,184Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Feb,259,259,nan
Wigeon,nan,170Supplementary visit under the WeBS Core Count SurveyWeBS,177Supplementary visit under the WeBS Core Count SurveyWeBS,226,421.0,166Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,232,232,nan
Mallard,nan,141Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,nan,nan,141,141,nan
Canada Goose,nan,135Supplementary visit under the WeBS Core Count SurveyWeBS,200Supplementary visit under the WeBS Core Count SurveyWeBS,31Supplementary visit under the WeBS Core Count SurveyWeBS,306.0,19Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Jul,138,138,nan
Teal,nan,106Supplementary visit under the WeBS Core Count SurveyWeBS,134Supplementary visit under the WeBS Core Count SurveyWeBS,84,106.0,111Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,108,108,nan
Shoveler,nan,47Supplementary visit under the WeBS Core Count SurveyWeBS,109Supplementary visit under the WeBS Core Count SurveyWeBS,90Supplementary visit under the WeBS Core Count SurveyWeBS,76.0,41Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Oct,73,73,nan
Gadwall,nan,30Supplementary visit under the WeBS Core Count SurveyWeBS,70Supplementary visit under the WeBS Core Count SurveyWeBS,66Supplementary visit under the WeBS Core Count SurveyWeBS,88.0,97Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,70,70,nan
Greylag Goose (British/Irish),nan,19Supplementary visit under the WeBS Core Count SurveyWeBS,163Supplementary visit under the WeBS Core Count SurveyWeBS,13,38.0,nan,nan,nan,58,58,nan
Greylag Goose,nan,19Supplementary visit under the WeBS Core Count SurveyWeBS,163Supplementary visit under the WeBS Core Count SurveyWeBS,13,38.0,nan,nan,nan,58,58,nan
Mute Swan,nan,33Supplementary visit under the WeBS Core Count SurveyWeBS,45Supplementary visit under the WeBS Core Count SurveyWeBS,43Supplementary visit under the WeBS Core Count SurveyWeBS,46.0,36Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Oct,41,41,nan
Goldeneye,nan,23Supplementary visit under the WeBS Core Count SurveyWeBS,28Supplementary visit under the WeBS Core Count SurveyWeBS,30,38.0,35Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Jan,31,31,nan
Pochard,nan,13Supplementary visit under the WeBS Core Count SurveyWeBS,27Supplementary visit under the WeBS Core Count SurveyWeBS,15,22.0,9Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,17,17,nan
Shelduck,nan,12Supplementary visit under the WeBS Core Count SurveyWeBS,9Supplementary visit under the WeBS Core Count SurveyWeBS,14Supplementary visit under the WeBS Core Count SurveyWeBS,5.0,3Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Feb,9,9,nan
Pintail,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,21.0,nan,nan,nan,6,6,nan
Smew,nan,6Supplementary visit under the WeBS Core Count SurveyWeBS,7Supplementary visit under the WeBS Core Count SurveyWeBS,3,4.0,7Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Feb,5,5,nan
Goosander,nan,8Supplementary visit under the WeBS Core Count SurveyWeBS,1Supplementary visit under the WeBS Core Count SurveyWeBS,9,4.0,3Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Jan,5,5,nan
Garganey,nan,1,nan,nan,1.0,1Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Sep,1,1,nan
Pink-footed Goose,nan,2Supplementary visit under the WeBS Core Count SurveyWeBS,nan,0,0.0,nan,nan,nan,1,1,nan
Ruddy Duck,nan,nan,nan,0,1.0,nan,nan,nan,1,1,nan
Canada x domestic Greylag Goose,nan,nan,nan,0,1.0,nan,nan,nan,1,1,nan
Barnacle Goose (naturalised),nan,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0.0,nan,nan,nan,0,0,nan
Barnacle Goose,nan,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0.0,nan,nan,nan,0,0,nan
Red-crested Pochard,nan,nan,nan,0,0.0,nan,nan,nan,0,0,nan
Muscovy Duck,nan,nan,nan,0,0.0,nan,nan,nan,0,0,nan
Hybrid shelduck,nan,nan,nan,0,0.0,nan,nan,nan,0,0,nan
Whooper Swan,nan,nan,nan,0,0.0,nan,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,nan,nan,0,0.0,nan,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,nan,nan,0,0.0,nan,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
