Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,0,3,14,11,59,nan,Nov,17,17,nan
Mallard,nan,1,14,10,21,20,nan,Dec,13,13,nan
Wigeon,nan,0,0,0,5,44,nan,Nov,10,10,nan
Goldeneye,nan,0,0,4,3,5,nan,Mar,2,2,nan
Mute Swan,nan,1,2,0,2,2,nan,Nov,1,1,nan
Teal,nan,0,0,0,6,0,nan,nan,1,1,nan
Pochard,nan,0,0,2,1,0,nan,nan,1,1,nan
Goosander,nan,0,0,0,0,2,nan,Jan,0,0,nan
Scaup,nan,0,0,0,2,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,2,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,2,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,0,0,nan,nan,0,0,nan
Garganey,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Bewick's Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Canada Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
