Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,nan,nan,nan,nan,23,nan,Dec,23,23,nan
Tufted Duck,nan,nan,nan,nan,nan,20,nan,Oct,20,20,nan
Pochard,nan,nan,nan,nan,nan,11,nan,Oct,11,11,nan
Mute Swan,nan,nan,nan,nan,nan,4,nan,Oct,4,4,nan
Ruddy Duck,nan,nan,nan,nan,nan,1,nan,Dec,1,1,nan
Goosander,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Goldeneye,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Teal,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Gadwall,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Shoveler,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Whooper Swan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Pink-footed Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Greylag Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Canada Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
